date,seasonal,trend,resid,observed,weights,rt
196211,17.850900106837642,88.85833333333332,-25.909233440170965,80.8,1.0,62.949099893162355
196212,37.552630876068434,86.7125,-6.965130876068443,117.3,1.0,79.74736912393156
196301,32.94717147435895,84.42916666666667,5.0236618589743784,122.4,1.0,89.45282852564105
196302,19.056177884615355,82.97083333333333,7.772988782051311,109.8,1.0,90.74382211538465
196303,19.418453525641,79.44166666666666,16.33987980769234,115.2,1.0,95.781546474359
196304,2.5004727564102276,73.99583333333332,18.003693910256448,94.5,1.0,91.99952724358977
196305,-3.935713141025669,72.35,-12.514286858974327,55.9,1.0,59.835713141025664
196306,-34.884142628205154,73.15833333333333,2.225809294871823,40.5,1.0,75.38414262820515
196307,-42.14666399572649,72.76249999999999,-24.21583600427349,6.4,1.0,48.5466639957265
196308,-53.03877938034187,72.54166666666666,-4.0028872863247855,15.5,1.0,68.53877938034188
196309,-19.925125534188016,72.28333333333333,-22.258207799145314,30.1,1.0,50.02512553418802
196310,24.604618055555587,71.7875,-29.092118055555584,67.3,1.0,42.69538194444441
196311,17.850900106837642,72.75416666666666,15.194933226495692,105.8,1.0,87.94909989316236
196312,37.552630876068434,73.92916666666666,0.2182024572649084,111.7,1.0,74.14736912393157
196401,32.94717147435895,75.78333333333333,9.769495192307716,118.5,1.0,85.55282852564105
196402,19.056177884615355,80.15,9.193822115384645,108.4,1.0,89.34382211538465
196403,19.418453525641,84.45833333333331,6.523213141025693,110.4,1.0,90.981546474359
196404,2.5004727564102276,89.025,-4.125472756410227,87.4,1.0,84.89952724358977
196405,-3.935713141025669,91.975,-1.8392868589743223,86.2,1.0,90.13571314102568
196406,-34.884142628205154,92.17083333333333,-18.88669070512818,38.4,1.0,73.28414262820516
196407,-42.14666399572649,91.75833333333333,3.388330662393166,53.0,1.0,95.1466639957265
196408,-53.03877938034187,91.11249999999998,35.62627938034189,73.7,1.0,126.73877938034187
196409,-19.925125534188016,90.8,4.425125534188016,75.3,1.0,95.22512553418801
196410,24.604618055555587,90.9625,16.132881944444396,131.7,1.0,107.0953819444444
196411,17.850900106837642,91.35416666666666,2.9949332264957036,112.2,1.0,94.34909989316236
196412,37.552630876068434,93.21666666666667,-20.769297542735103,110.0,1.0,72.44736912393157
196501,32.94717147435895,96.69166666666666,-19.33883814102562,110.3,1.0,77.35282852564104
196502,19.056177884615355,97.15833333333333,-15.114511217948692,101.1,1.0,82.04382211538464
196503,19.418453525641,95.27083333333331,-4.48928685897431,110.2,1.0,90.781546474359
196504,2.5004727564102276,94.8125,-5.812972756410227,91.5,1.0,88.99952724358977
196505,-3.935713141025669,94.47083333333333,0.9648798076923377,91.5,1.0,95.43571314102567
196506,-34.884142628205154,94.44999999999999,18.234142628205163,77.8,1.0,112.68414262820515
196507,-42.14666399572649,95.37916666666665,43.76749732905984,97.0,1.0,139.1466639957265
196508,-53.03877938034187,95.95,-2.0112206196581326,40.9,1.0,93.93877938034187
