date,seasonal,trend,resid,observed,weights,rt
198601,88.08337873931623,22.06666666666666,-68.6500454059829,41.5,1.0,-46.58337873931623
198602,56.875686431623926,22.237499999999994,2.08681356837608,81.2,1.0,24.324313568376073
198603,-4.582582799145302,22.554166666666664,51.82841613247864,69.8,1.0,74.3825827991453
198604,-16.09437767094017,22.7,-2.5056223290598325,4.1,1.0,20.194377670940167
198605,-9.793159722222226,22.799999999999997,37.99315972222223,51.0,1.0,60.79315972222223
198606,-27.147390491452995,24.820833333333333,2.626557158119663,0.3,1.0,27.447390491452996
198607,-26.642743055555556,30.070833333333333,-1.4280902777777769,2.0,1.0,28.642743055555556
198608,-28.41456997863248,32.266666666666666,1.1479033119658126,5.0,1.0,33.41456997863248
198609,-26.414986645299145,28.541666666666668,2.273319978632479,4.4,1.0,30.814986645299147
198610,-21.056493055555556,25.970833333333335,-0.614340277777778,4.3,1.0,25.356493055555557
198611,-23.220371260683763,24.65833333333333,4.96203792735043,6.4,1.0,29.62037126068376
198612,38.40760950854701,23.4,-10.507609508547013,51.3,1.0,12.892390491452986
198701,88.08337873931623,23.49583333333333,9.020787927350426,120.6,1.0,32.516621260683756
198702,56.875686431623926,23.312499999999996,-25.388186431623925,54.8,1.0,-2.0756864316239287
198703,-4.582582799145302,23.037499999999994,-11.65491720085469,6.8,1.0,11.382582799145304
198704,-16.09437767094017,23.054166666666664,-1.5597889957264925,5.4,1.0,21.49437767094017
198705,-9.793159722222226,23.15,4.843159722222227,18.2,1.0,27.993159722222224
198706,-27.147390491452995,24.737499999999997,5.309890491452997,2.9,1.0,30.047390491452994
198707,-26.642743055555556,24.30833333333333,4.034409722222225,1.7,1.0,28.342743055555555
198708,-28.41456997863248,24.30833333333333,5.006236645299147,0.9,1.0,29.314569978632477
198709,-26.414986645299145,28.27083333333333,0.04415331196581462,1.9,1.0,28.314986645299143
198710,-21.056493055555556,30.49166666666666,-2.2351736111111045,7.2,1.0,28.256493055555556
198711,-23.220371260683763,32.11666666666666,-3.0962954059828967,5.8,1.0,29.020371260683763
198712,38.40760950854701,33.349999999999994,18.242390491452994,90.0,1.0,51.59239049145299
198801,88.08337873931623,33.18749999999999,-49.67087873931623,71.6,1.0,-16.483378739316237
198802,56.875686431623926,33.08333333333333,13.840980235042743,103.8,1.0,46.92431356837607
198803,-4.582582799145302,33.01249999999999,24.470082799145313,52.9,1.0,57.482582799145305
198804,-16.09437767094017,32.94166666666666,-4.2472889957264925,12.6,1.0,28.69437767094017
198805,-9.793159722222226,32.8125,26.980659722222228,50.0,1.0,59.79315972222223
198806,-27.147390491452995,31.549999999999997,-3.7026095085470025,0.7,1.0,27.847390491452995
198807,-26.642743055555556,36.975,-10.332256944444445,0.0,1.0,26.642743055555556
198808,-28.41456997863248,45.88333333333333,-17.368763354700853,0.1,1.0,28.51456997863248
198809,-26.414986645299145,46.27916666666666,-18.864180021367517,1.0,1.0,27.414986645299145
198810,-21.056493055555556,44.00416666666667,-16.547673611111115,6.4,1.0,27.456493055555555
198811,-23.220371260683763,41.72083333333334,-15.000462072649576,3.5,1.0,26.720371260683763
198812,38.40760950854701,39.89166666666667,-16.299276175213684,62.0,1.0,23.59239049145299
198901,88.08337873931623,40.0625,101.65412126068378,229.8,1.0,141.71662126068378
198902,56.875686431623926,40.31666666666667,62.20764690170942,159.4,1.0,102.52431356837609
198903,-4.582582799145302,40.63333333333333,-29.250750534188033,6.8,1.0,11.3825827991453
198904,-16.09437767094017,40.6875,-20.49312232905983,4.1,1.0,20.19437767094017
198905,-9.793159722222226,40.699999999999996,-27.206840277777765,3.7,1.0,13.49315972222223
198906,-27.147390491452995,39.59166666666667,-9.344276175213672,3.1,1.0,30.247390491452997
198907,-26.642743055555556,33.1125,-4.769756944444442,1.7,1.0,28.342743055555555
198908,-28.41456997863248,21.445833333333333,11.468736645299145,4.5,1.0,32.91456997863248
198909,-26.414986645299145,17.441666666666666,13.173319978632478,4.2,1.0,30.614986645299144
198910,-21.056493055555556,19.9,5.656493055555558,4.5,1.0,25.556493055555556
198911,-23.220371260683763,23.608333333333334,5.312037927350428,5.7,1.0,28.920371260683762
198912,38.40760950854701,27.191666666666663,-32.39927617521367,33.2,1.0,-5.207609508547009
