date,seasonal,trend,resid,observed,weights,rt
195801,2.354594017094016,18.730416666666688,0.4149893162392959,21.5,1.0,19.145405982905984
195802,1.6117606837606824,18.636666666666684,0.9215726495726348,21.17,1.0,19.55823931623932
195803,1.1882350427350423,18.542916666666684,0.17884829059827334,19.91,1.0,18.72176495726496
195804,0.26607478632478526,18.44916666666668,-0.7152414529914661,18.0,1.0,17.733925213675214
195805,-2.214155982905984,18.35541666666668,-0.42126068376069625,15.72,1.0,17.934155982905985
195806,-3.3149829059829066,18.261666666666677,0.3633162393162297,15.31,1.0,18.624982905982908
195807,-3.7253782051282047,18.167916666666667,0.7874615384615384,15.23,1.0,18.955378205128206
195808,-1.4914679487179483,18.074166666666667,-1.522698717948718,15.06,1.0,16.55146794871795
195809,0.2729743589743602,17.980416666666663,0.03660897435897581,18.29,1.0,18.01702564102564
195810,1.1816794871794882,17.994166666666665,-0.1258461538461524,19.05,1.0,17.868320512820514
195811,2.00571153846154,18.056666666666665,-0.2623782051282042,19.8,1.0,17.79428846153846
195812,1.8649551282051298,18.042916666666667,-0.4678717948717952,19.44,1.0,17.575044871794873
195901,2.354594017094016,18.082083333333333,0.13332264957265094,20.57,1.0,18.215405982905985
195902,1.6117606837606824,18.274166666666666,-0.03592735042734696,19.85,1.0,18.23823931623932
195903,1.1882350427350423,18.495,-0.7032350427350429,18.98,1.0,17.79176495726496
195904,0.26607478632478526,18.6525,0.34142521367521644,19.26,1.0,18.993925213675215
195905,-2.214155982905984,18.815,-0.6408440170940164,15.96,1.0,18.174155982905987
195906,-3.3149829059829066,19.007916666666667,-0.9529337606837598,14.74,1.0,18.054982905982907
195907,-3.7253782051282047,19.092499999999998,1.3728782051282056,16.74,1.0,20.465378205128204
195908,-1.4914679487179483,19.07625,0.5752179487179467,18.16,1.0,19.651467948717947
195909,0.2729743589743602,19.117916666666666,1.0991089743589724,20.49,1.0,20.21702564102564
195910,1.1816794871794882,19.11791666666667,0.3304038461538412,20.63,1.0,19.448320512820512
195911,2.00571153846154,19.019583333333333,1.0947051282051277,22.12,1.0,20.11428846153846
195912,1.8649551282051298,19.03458333333333,0.8504615384615399,21.75,1.0,19.88504487179487
196001,2.354594017094016,19.038749999999997,-1.1033440170940136,20.29,1.0,17.935405982905984
196002,1.6117606837606824,18.919583333333332,-0.7913440170940158,19.74,1.0,18.128239316239316
196003,1.1882350427350423,18.874583333333334,0.02718162393162382,20.09,1.0,18.90176495726496
196004,0.26607478632478526,18.944166666666668,-1.0602414529914543,18.15,1.0,17.883925213675212
196005,-2.214155982905984,18.880833333333335,-1.9566773504273502,14.71,1.0,16.924155982905987
196006,-3.3149829059829066,18.694583333333334,0.970399572649574,16.35,1.0,19.664982905982907
196007,-3.7253782051282047,18.649166666666666,0.30621153846153915,15.23,1.0,18.955378205128206
196008,-1.4914679487179483,18.687083333333334,-0.3856153846153867,16.81,1.0,18.301467948717946
196009,0.2729743589743602,18.641250000000003,1.8457756410256385,20.76,1.0,20.487025641025642
196010,1.1816794871794882,18.589999999999996,2.2583205128205166,22.03,1.0,20.848320512820514
196011,2.00571153846154,18.681666666666665,-1.4873782051282056,19.2,1.0,17.19428846153846
196012,1.8649551282051298,18.6925,-0.3574551282051295,20.2,1.0,18.33504487179487
196101,2.354594017094016,18.63708333333333,-0.2416773504273455,20.75,1.0,18.395405982905984
196102,1.6117606837606824,18.76208333333333,-0.18384401709401055,20.19,1.0,18.57823931623932
196103,1.1882350427350423,18.84958333333333,-1.4978183760683748,18.54,1.0,17.351764957264958
196104,0.26607478632478526,18.734583333333333,-0.5306581196581195,18.47,1.0,18.203925213675213
196105,-2.214155982905984,18.710416666666667,0.09373931623931675,16.59,1.0,18.804155982905982
196106,-3.3149829059829066,18.78,-0.7350170940170941,14.73,1.0,18.044982905982906
196107,-3.7253782051282047,18.75708333333333,0.48829487179487385,15.52,1.0,19.245378205128205
196108,-1.4914679487179483,18.711250000000003,2.3002179487179446,19.52,1.0,21.011467948717947
196109,0.2729743589743602,18.743333333333332,1.1336923076923062,20.15,1.0,19.87702564102564
196110,1.1816794871794882,18.783333333333335,-0.08501282051282422,19.88,1.0,18.698320512820512
196111,2.00571153846154,18.707916666666662,0.05637179487179722,20.77,1.0,18.76428846153846
196112,1.8649551282051298,18.576666666666664,-0.1416217948717935,20.3,1.0,18.435044871794872
196201,2.354594017094016,18.325416666666666,-0.5800106837606802,20.1,1.0,17.745405982905986
196202,1.6117606837606824,17.989166666666666,0.1390726495726502,19.74,1.0,18.128239316239316
196203,1.1882350427350423,17.780416666666664,0.7913482905982954,19.76,1.0,18.57176495726496
196204,0.26607478632478526,17.59125,0.35267521367521687,18.21,1.0,17.943925213675215
196205,-2.214155982905984,17.442083333333333,-0.18792735042734954,15.04,1.0,17.254155982905985
196206,-3.3149829059829066,17.438333333333333,-0.9933504273504252,13.13,1.0,16.444982905982908
196207,-3.7253782051282047,17.4875,-2.672121794871796,11.09,1.0,14.815378205128205
196208,-1.4914679487179483,17.52041666666667,-0.14894871794872033,15.88,1.0,17.37146794871795
196209,0.2729743589743602,17.53875,0.9682756410256407,18.78,1.0,18.507025641025642
196210,1.1816794871794882,17.565416666666668,-2.037096153846155,16.71,1.0,15.528320512820512
196211,2.00571153846154,17.604583333333334,0.7497051282051252,20.36,1.0,18.35428846153846
196212,1.8649551282051298,17.673333333333332,1.0817115384615392,20.62,1.0,18.755044871794873
196301,2.354594017094016,17.929166666666667,0.6762393162393177,20.96,1.0,18.605405982905985
196302,1.6117606837606824,18.265,-0.20676068376068124,19.67,1.0,18.05823931623932
196303,1.1882350427350423,18.45375,0.6280149572649578,20.27,1.0,19.08176495726496
196304,0.26607478632478526,18.70583333333333,-0.6319081196581162,18.34,1.0,18.073925213675214
196305,-2.214155982905984,18.902083333333334,-0.8379273504273499,15.85,1.0,18.064155982905984
196306,-3.3149829059829066,18.91708333333333,-1.6321004273504234,13.97,1.0,17.284982905982908
196307,-3.7253782051282047,18.91833333333333,1.1970448717948758,16.39,1.0,20.115378205128206
196308,-1.4914679487179483,18.921249999999997,1.2102179487179519,18.64,1.0,20.131467948717948
196309,0.2729743589743602,18.901249999999997,1.3757756410256432,20.55,1.0,20.27702564102564
196310,1.1816794871794882,18.953333333333333,0.8549871794871771,20.99,1.0,19.80832051282051
196311,2.00571153846154,19.03958333333333,-0.2552948717948702,20.79,1.0,18.78428846153846
196312,1.8649551282051298,19.034166666666668,-0.3491217948717966,20.55,1.0,18.685044871794872
196401,2.354594017094016,18.854999999999997,-0.1495940170940142,21.06,1.0,18.705405982905983
196402,1.6117606837606824,18.63125,-0.6030106837606832,19.64,1.0,18.02823931623932
196403,1.1882350427350423,18.45791666666667,0.17384829059828855,19.82,1.0,18.63176495726496
196404,0.26607478632478526,18.217916666666667,1.5560085470085465,20.04,1.0,19.773925213675213
196405,-2.214155982905984,18.00583333333333,0.4283226495726513,16.22,1.0,18.434155982905985
196406,-3.3149829059829066,17.867916666666662,-1.0829337606837552,13.47,1.0,16.784982905982908
196407,-3.7253782051282047,17.74,-1.4246217948717939,12.59,1.0,16.315378205128205
196408,-1.4914679487179483,17.667499999999997,0.8939679487179517,17.07,1.0,18.561467948717947
196409,0.2729743589743602,17.542916666666663,0.14410897435897752,17.96,1.0,17.68702564102564
196410,1.1816794871794882,17.350416666666668,-0.7120961538461557,17.82,1.0,16.638320512820513
196411,2.00571153846154,17.2925,-0.4282115384615395,18.87,1.0,16.86428846153846
196412,1.8649551282051298,17.439999999999998,-0.14495512820512735,19.16,1.0,17.29504487179487
196501,2.354594017094016,17.642916666666668,-0.6175106837606852,19.38,1.0,17.025405982905983
196502,1.6117606837606824,17.736250000000002,0.23198931623931407,19.58,1.0,17.968239316239316
196503,1.1882350427350423,17.775833333333335,-2.0740683760683765,16.89,1.0,15.701764957264958
196504,0.26607478632478526,17.833333333333332,0.250591880341884,18.35,1.0,18.083925213675215
196505,-2.214155982905984,17.942916666666665,0.7912393162393183,16.52,1.0,18.734155982905982
196506,-3.3149829059829066,18.047916666666666,1.9770662393162417,16.71,1.0,20.024982905982906
196507,-3.7253782051282047,18.159583333333334,-0.2142051282051285,14.22,1.0,17.945378205128204
196508,-1.4914679487179483,18.27375,0.8977179487179483,17.68,1.0,19.171467948717947
196509,0.2729743589743602,18.41708333333333,-0.39005769230769005,18.3,1.0,18.02702564102564
196510,1.1816794871794882,18.519583333333333,-0.8412628205128221,18.86,1.0,17.678320512820513
196511,2.00571153846154,18.515,-0.06071153846153976,20.46,1.0,18.45428846153846
196512,1.8649551282051298,18.48625,-0.2612051282051282,20.09,1.0,18.22504487179487
196601,2.354594017094016,18.43875,0.3366559829059841,21.13,1.0,18.775405982905983
196602,1.6117606837606824,18.303749999999997,0.6544893162393206,20.57,1.0,18.958239316239318
196603,1.1882350427350423,18.159583333333334,-0.00781837606837632,19.34,1.0,18.15176495726496
196604,0.26607478632478526,18.158749999999998,-0.06482478632478356,18.36,1.0,18.093925213675213
