date,seasonal,trend,resid,observed,weights,rt
195801,18.072524038461538,29.74791666666664,-5.5204407051281805,42.3,1.0,24.22747596153846
195802,17.794863782051284,29.941666666666645,-5.436530448717932,42.3,1.0,24.505136217948714
195803,9.614895833333335,30.13541666666665,-6.7503124999999855,33.0,1.0,23.385104166666665
195804,2.7661458333333346,30.329166666666655,5.104687500000013,38.2,1.0,35.43385416666667
195805,3.1490625,30.52291666666666,8.628020833333338,42.3,1.0,39.1509375
195806,-7.207572115384615,30.716666666666665,14.390905448717948,37.9,1.0,45.10757211538461
195807,-10.781418269230768,30.974999999999994,4.106418269230774,24.3,1.0,35.08141826923077
195808,-14.416802884615384,30.974999999999994,-2.858197115384611,13.7,1.0,28.11680288461538
195809,-14.91096955128205,31.362499999999997,-6.551530448717948,9.9,1.0,24.81096955128205
195810,-7.303405448717949,31.174999999999997,3.9284054487179523,27.8,1.0,35.10340544871795
195811,-9.647572115384612,29.562499999999993,-2.2149278846153813,17.7,1.0,27.34757211538461
195812,12.870248397435896,27.424999999999997,2.004751602564104,42.3,1.0,29.429751602564103
195901,18.072524038461538,25.679166666666664,-1.451690705128204,42.3,1.0,24.22747596153846
195902,17.794863782051284,24.75833333333333,-0.25319711538461576,42.3,1.0,24.505136217948714
195903,9.614895833333335,24.32083333333333,8.364270833333332,42.3,1.0,32.68510416666666
195904,2.7661458333333346,23.21666666666666,-1.5828124999999975,24.4,1.0,21.633854166666666
195905,3.1490625,21.729166666666664,-7.478229166666665,17.4,1.0,14.2509375
195906,-7.207572115384615,21.183333333333334,-2.475761217948719,11.5,1.0,18.707572115384615
195907,-10.781418269230768,21.183333333333334,-1.601915064102565,8.8,1.0,19.581418269230767
195908,-14.416802884615384,21.18333333333333,0.3334695512820538,7.1,1.0,21.516802884615384
195909,-14.91096955128205,20.070833333333333,0.840136217948718,6.0,1.0,20.91096955128205
195910,-7.303405448717949,19.633333333333333,-7.129927884615385,5.2,1.0,12.503405448717949
195911,-9.647572115384612,21.345833333333328,-7.098261217948718,4.6,1.0,14.24757211538461
195912,12.870248397435896,22.6375,6.792251602564102,42.3,1.0,29.429751602564103
196001,18.072524038461538,23.00833333333333,1.2191426282051303,42.3,1.0,24.22747596153846
196002,17.794863782051284,23.195833333333333,1.3093028846153807,42.3,1.0,24.505136217948714
196003,9.614895833333335,23.316666666666666,-17.331562500000004,15.6,1.0,5.9851041666666625
196004,2.7661458333333346,24.266666666666666,13.567187500000001,40.6,1.0,37.83385416666667
196005,3.1490625,25.93333333333333,13.217604166666668,42.3,1.0,39.1509375
196006,-7.207572115384615,26.699999999999996,-1.8924278846153797,17.6,1.0,24.807572115384616
196007,-10.781418269230768,26.699999999999996,-4.318581730769228,11.6,1.0,22.381418269230767
196008,-14.416802884615384,26.699999999999996,-3.483197115384611,8.8,1.0,23.216802884615383
196009,-14.91096955128205,27.8125,-5.70153044871795,7.2,1.0,22.11096955128205
196010,-7.303405448717949,28.99583333333333,5.107572115384619,26.8,1.0,34.10340544871795
196011,-9.647572115384612,28.59583333333333,4.051738782051281,23.0,1.0,32.64757211538461
196012,12.870248397435896,28.22916666666666,1.2005849358974405,42.3,1.0,29.429751602564103
196101,18.072524038461538,28.37083333333333,-4.14335737179487,42.3,1.0,24.22747596153846
196102,17.794863782051284,28.42916666666666,-3.9240304487179465,42.3,1.0,24.505136217948714
196103,9.614895833333335,28.46249999999999,4.22260416666667,42.3,1.0,32.68510416666666
196104,2.7661458333333346,27.62083333333333,11.913020833333333,42.3,1.0,39.533854166666664
196105,3.1490625,26.033333333333328,1.8176041666666722,31.0,1.0,27.8509375
196106,-7.207572115384615,25.299999999999997,2.007572115384619,20.1,1.0,27.307572115384616
196107,-10.781418269230768,25.299999999999997,-2.0185817307692293,12.5,1.0,23.28141826923077
196108,-14.416802884615384,24.941666666666663,-1.224863782051278,9.3,1.0,23.716802884615383
196109,-14.91096955128205,23.454166666666666,-1.043197115384615,7.5,1.0,22.41096955128205
196110,-7.303405448717949,21.333333333333336,-7.729927884615386,6.3,1.0,13.60340544871795
196111,-9.647572115384612,19.545833333333334,-4.498261217948722,5.4,1.0,15.047572115384613
196112,12.870248397435896,19.12083333333333,10.308918269230771,42.3,1.0,29.429751602564103
196201,18.072524038461538,19.579166666666666,4.648309294871794,42.3,1.0,24.22747596153846
196202,17.794863782051284,19.708333333333332,-3.803197115384613,33.7,1.0,15.90513621794872
196203,9.614895833333335,19.775,-14.189895833333335,15.2,1.0,5.585104166666664
196204,2.7661458333333346,20.75833333333333,-5.024479166666664,18.5,1.0,15.733854166666665
196205,3.1490625,22.104166666666664,-13.353229166666663,11.9,1.0,8.750937500000001
196206,-7.207572115384615,22.491666666666664,13.715905448717951,29.0,1.0,36.207572115384615
196207,-10.781418269230768,22.491666666666664,2.889751602564104,14.6,1.0,25.381418269230767
196208,-14.416802884615384,22.85,1.8668028846153835,10.3,1.0,24.716802884615383
196209,-14.91096955128205,24.3375,-1.3265304487179463,8.1,1.0,23.010969551282052
196210,-7.303405448717949,25.737499999999997,10.865905448717953,29.3,1.0,36.60340544871795
196211,-9.647572115384612,26.0875,-1.739927884615387,14.7,1.0,24.34757211538461
196212,12.870248397435896,25.374999999999993,4.054751602564108,42.3,1.0,29.429751602564103
196301,18.072524038461538,24.304166666666664,-0.07669070512820397,42.3,1.0,24.22747596153846
196302,17.794863782051284,23.866666666666664,0.63846955128205,42.3,1.0,24.505136217948714
196303,9.614895833333335,23.60416666666666,9.080937500000001,42.3,1.0,32.68510416666666
